date,sales_accuracy,customer_accuracy,actual_sales,predicted_sales,actual_customers,predicted_customers
2024-03-01,73.63343286925381,63.54280129457132,28671.81,36231.582,117.0,159.65492248535156
2024-03-02,77.03476388267747,88.33154365841278,47135.36,36310.613,177.0,156.34683227539062
2024-03-03,55.53068075244019,61.065469576617865,55882.98,31032.2,254.0,155.10629272460938
2024-03-04,70.70634344776086,55.74622876716383,28818.239999999998,37260.156,132.0,190.41497802734375
2024-03-05,40.78442707433949,56.71747381036932,71808.4,29286.645,308.0,174.6898193359375
2024-03-06,58.531849137762734,27.879685621995193,32526.43,46014.54,130.0,223.75640869140625
2024-03-07,71.85196045166202,62.88790189302885,30636.179999999993,39259.664,130.0,178.2457275390625
2024-03-08,98.74696732874136,88.24989021598519,36125.33,36577.992,154.0,172.0951690673828
2024-03-09,83.66832832745118,93.44665191985749,43022.72,35996.39,182.0,170.07290649414062
2024-03-10,60.45805779263842,77.12825852997449,41347.869999999995,24998.12,196.0,151.17138671875
2024-03-11,96.91673403886716,70.70126641065555,29611.619999999995,30524.625,133.0,171.96731567382812
2024-03-12,68.47074044129964,96.00378628434807,33608.91,23012.27,145.0,150.7945098876953
2024-03-13,57.42689257528531,83.28425395919615,38461.68000000001,22087.348,166.0,138.25186157226562
2024-03-14,68.91672304719486,79.23192314923128,37551.75,25879.436,187.0,148.1636962890625
2024-03-15,64.39544894204208,84.42044100918612,40267.670000000006,25930.547,182.0,153.64520263671875
2024-03-16,61.210055075574225,71.17917831629923,49023.32000000001,30007.201,219.0,155.8824005126953
2024-03-17,88.99326067037381,98.0350287677032,48385.84,43060.137,203.0,206.9888916015625
2024-03-18,10.296547752758343,28.649092964504078,23309.019999999997,44218.016,115.0,197.0535430908203
2024-03-19,80.38195051486915,55.96239725748698,28599.5,34210.164,120.0,172.84512329101562
2024-03-20,75.35138585685327,84.69207336852601,32065.0,39968.58,143.0,164.8903350830078
2024-03-21,98.33856244001001,95.63749264448117,38089.67999999999,37456.844,156.0,162.80551147460938
2024-03-22,75.93467345018954,80.61393842305222,38130.630000000005,47306.89,146.0,174.30364990234375
2024-03-23,90.06373853594862,94.30949178974281,42303.979999999996,46507.414,178.0,167.8708953857422
2024-03-24,76.4223689735123,90.56688096788194,43108.65000000001,53272.65,180.0,196.9796142578125
2024-03-25,0.0,0.0,21495.260000000002,56423.137,95.0,199.16342163085938
2024-03-26,2.4682407479737662,24.024468881112554,25090.72,49562.14,108.0,190.05357360839844
2024-03-27,14.324856425693966,67.11804866790771,28360.75,52658.863,128.0,170.08889770507812
2024-03-28,12.663786885587086,69.40114269517872,32193.13,60309.39,146.0,190.67433166503906
2024-03-29,36.06744398036265,56.667556205805205,33326.26,54632.59,137.0,196.36544799804688
2024-03-30,83.5524238933416,93.85605237970304,44467.2,51780.977,201.0,188.65066528320312
2024-03-31,97.37824594119434,85.9880316194403,38632.67,37619.816,189.0,162.5173797607422
2024-04-01,80.06654073746319,83.18153276835403,35448.82,42514.996,146.0,170.55496215820312
2024-04-02,51.41983747408382,60.951361135274425,24545.47,36469.7,119.0,165.46788024902344
2024-04-03,80.07997062559622,83.68386595788664,30284.870000000003,36317.625,137.0,159.3531036376953
2024-04-04,37.025888171962464,39.46286822677752,25627.920000000002,41766.875,109.0,174.9854736328125
2024-04-05,31.182436909303462,40.49977041518462,83367.68000000001,25996.074,369.0,149.44415283203125
2024-04-06,91.2917962020905,92.68192754727657,47258.63,51374.008,214.0,229.66067504882812
2024-04-07,62.93186492276172,98.22461528162802,43525.69,59659.85,217.0,213.1474151611328
2024-04-08,62.04837115192727,60.69657231720401,33823.75,46660.414,142.0,197.8108673095703
2024-04-09,92.10106110713447,96.3529292623795,46326.259999999995,49985.543,201.0,193.6693878173828
2024-04-10,0.0,0.0,34513.96,91341.734,137.0,284.66790771484375
2024-04-11,1.5219236175768032,41.65357185132576,38977.03,77360.86,165.0,261.2716064453125
2024-04-12,0.0,33.26085408528647,33590.42,100762.25,144.0,240.1043701171875
2024-04-13,72.28010645081041,94.66439501732184,51613.979999999996,65921.32,221.0,209.20831298828125
2024-04-14,20.355043449895575,45.33515004064307,38657.17,69445.66,173.0,267.5701904296875
2024-04-15,13.159845386637741,39.86464638746422,29953.75,55965.633,131.0,209.77731323242188
2024-04-16,50.32831556688642,77.50646901685138,38833.97,58123.457,172.0,210.68887329101562
2024-04-17,52.59621728411892,57.940361969662405,25380.64,37412.023,137.0,194.6217041015625
