day,sales_accuracy,customer_accuracy,total_sales
1,73.63343286925381,63.54280129457132,28671.81
2,77.03476388267747,88.33154365841278,47135.36
3,55.53068075244019,61.065469576617865,55882.98
4,70.70634344776086,55.74622876716383,28818.239999999998
5,40.78442707433949,56.71747381036932,71808.4
6,58.531849137762734,27.879685621995193,32526.43
7,71.85196045166202,62.88790189302885,30636.179999999993
8,98.74696732874136,88.24989021598519,36125.33
9,83.66832832745118,93.44665191985749,43022.72
10,60.45805779263842,77.12825852997449,41347.869999999995
11,96.91673403886716,70.70126641065555,29611.619999999995
12,68.47074044129964,96.00378628434807,33608.91
13,57.42689257528531,83.28425395919615,38461.68000000001
14,68.91672304719486,79.23192314923128,37551.75
15,64.39544894204208,84.42044100918612,40267.670000000006
16,61.210055075574225,71.17917831629923,49023.32000000001
17,88.99326067037381,98.0350287677032,48385.84
18,10.296547752758343,28.649092964504078,23309.019999999997
19,80.38195051486915,55.96239725748698,28599.5
20,75.35138585685327,84.69207336852601,32065.0
21,98.33856244001001,95.63749264448117,38089.67999999999
22,75.93467345018954,80.61393842305222,38130.630000000005
23,90.06373853594862,94.30949178974281,42303.979999999996
24,76.4223689735123,90.56688096788194,43108.65000000001
25,0.0,0.0,21495.260000000002
26,2.4682407479737662,24.024468881112554,25090.72
27,14.324856425693966,67.11804866790771,28360.75
28,12.663786885587086,69.40114269517872,32193.13
29,36.06744398036265,56.667556205805205,33326.26
30,83.5524238933416,93.85605237970304,44467.2
31,97.37824594119434,85.9880316194403,38632.67
32,80.06654073746319,83.18153276835403,35448.82
33,51.41983747408382,60.951361135274425,24545.47
34,80.07997062559622,83.68386595788664,30284.870000000003
35,37.025888171962464,39.46286822677752,25627.920000000002
36,31.182436909303462,40.49977041518462,83367.68000000001
37,91.2917962020905,92.68192754727657,47258.63
38,62.93186492276172,98.22461528162802,43525.69
39,62.04837115192727,60.69657231720401,33823.75
40,92.10106110713447,96.3529292623795,46326.259999999995
41,0.0,0.0,34513.96
42,1.5219236175768032,41.65357185132576,38977.03
43,0.0,33.26085408528647,33590.42
44,72.28010645081041,94.66439501732184,51613.979999999996
45,20.355043449895575,45.33515004064307,38657.17
46,13.159845386637741,39.86464638746422,29953.75
47,50.32831556688642,77.50646901685138,38833.97
48,52.59621728411892,57.940361969662405,25380.64
49,70.76343191557756,71.14461923574473,35620.850000000006
50,9.944138089560369,58.828089359032845,32432.43
51,47.78789341132632,85.45775717877328,43863.759999999995
52,18.01195663266661,99.2833120380333,35716.63
53,58.16307196854081,85.23705665101396,33745.3
54,0.0,44.61192255434783,25728.910000000003
55,71.34605477614295,90.55282509392076,41969.64
56,26.373392729741965,73.3221975313563,35601.9
57,33.0541323214989,91.48653989338743,44787.96
58,35.45773901754224,96.21154240199498,43569.71
59,68.84222677476046,95.10539286845439,37128.25
60,67.76171812805812,98.41226926991638,33225.07
61,85.10751387723784,96.47031604734241,29885.269999999997
62,92.81742473783608,74.94521844582479,47741.119999999995
63,46.61456297014529,91.10768999372209,31971.5
64,91.05341011136325,78.5902451023911,38964.38
65,78.51746016202952,66.31667116855053,54227.16
66,78.7711984781956,85.69445563751518,44995.270000000004
67,0.0,38.2628402089685,29209.05
68,88.76892537438516,82.34132465563323,34961.99
69,86.52830464617298,87.13617569360977,35658.81
70,87.6198570153113,85.33439049353966,28874.77
71,88.75221645053338,97.94045242608762,36811.39
72,94.91538026880134,80.00184686690415,49475.2
73,99.83075469009266,84.153920953924,40944.82
74,67.93356722613159,95.69167604871616,36638.58
75,86.82725121276633,90.20797533866687,35779.770000000004
76,94.38358926623846,95.92051188151042,37904.14
77,86.58828300409317,97.2365339832193,43291.6
78,96.83987705786778,86.86664287860577,38023.58
79,55.52889731175826,83.32269998421347,63716.740000000005
80,97.67069903171736,92.58487407977765,55529.23999999999
81,74.24319190372907,54.16804576080118,37136.850000000006
82,85.57819679376134,54.51764489850427,26773.739999999998
83,84.30883499166455,85.54595733855987,35205.07
84,77.94095013333893,77.22623552594865,32634.88
85,76.47323675473686,87.43673603186447,41743.979999999996
86,88.18274986867992,76.54135060864826,49649.68
87,79.75970342156137,95.57906948790259,46150.86
88,65.9331718069916,64.98573358110386,29396.649999999998
89,92.92064444965054,88.34683055609045,32013.75
90,83.29619700030631,84.70926351480551,32714.340000000004
91,56.361873795015086,87.0446897020527,35513.93
92,83.54485137446969,69.39349911077235,28811.840000000004
93,94.26898499443159,92.00724283854167,36096.600000000006
94,83.05806905563762,86.7620068927144,37169.630000000005
95,45.10598071864219,31.97297469429347,24766.15
96,81.68234725084505,74.34685601128473,26906.45
97,99.3305368974619,73.94309820130815,26611.18
98,85.81932155019602,66.17059577001284,33989.25
99,93.72589359445179,98.23119381824172,37237.25
100,77.65922273012194,78.70149518003558,44461.97
101,90.56631595936905,84.91816116591632,38103.95
102,96.99824506753586,93.1057889696578,32407.230000000003
103,73.57730785716058,77.8236744015716,32686.490000000005
104,40.61850371771344,82.3931224310576,29653.98
105,62.372660416803846,75.23282036107248,37967.5
106,70.08214873459183,83.87597725216278,37093.96
107,84.72900950756475,64.7291426225142,48097.490000000005
108,78.53913390847849,66.91039630344936,46520.43
109,27.877551954201877,45.97908020019531,30419.58
110,21.59307707554916,97.13283676698984,35895.56
111,62.49416210864232,73.82609937909389,46383.4
112,0.0,79.70818782198256,29575.23
113,68.79546120059038,84.44906523733428,38734.61
114,92.30384153541648,58.8220611820376,51599.29
115,87.43414815791793,59.971259251113764,51708.880000000005
116,0.0,78.23636414574796,26061.49
117,13.431914532542436,98.60666035026904,30913.929999999997
118,64.24448081262666,52.384189744069786,39152.05
119,81.92037582060512,77.9095347334699,23887.86
120,89.19268531721247,45.79609715661337,38186.55
121,98.7147819873232,38.080748788553386,43746.08
122,44.81283668604335,37.802060998004414,54503.67
123,79.61002736270497,98.78410177027925,32294.87
124,78.54108940265763,53.89485161425331,45924.25
125,61.76140266154256,87.99424171447754,29570.07
126,77.0834533848409,63.94820055424773,33926.41
127,73.5137844429913,78.50942502076599,37604.53
128,92.98438259985497,66.21676231628139,52283.07000000001
129,42.92656888830576,90.98921621311976,38948.119999999995
130,11.623141730772204,79.6805758436187,24018.99
131,23.10591507190027,79.5318182583513,31304.480000000003
132,0.0,80.90712359162416,32324.100000000002
133,75.02440747910165,55.576798223680065,52956.36
134,84.8152519149902,76.42946148862933,48638.630000000005
135,64.08939107451945,79.8741484851372,42255.54
136,94.90043478068344,67.32729131525213,48553.79
137,24.25395890511541,88.83926589767654,33571.94
138,94.2815628680801,82.85892914960729,42450.0
139,87.83728373177337,72.58892483181424,39703.59
140,98.61756641055334,65.44899940490723,37643.49
141,68.58776651440274,51.415478515625004,49972.44
142,70.03484810774907,50.0396903904005,57616.83
143,60.83328734361171,87.5353971267129,39456.28
144,79.44652029818762,93.28874588012695,35699.0
145,83.19238392839381,64.27019451736311,45244.700000000004
146,69.83327499697387,95.81246536769224,35358.88
147,97.50973800948975,62.141367835456165,46289.94
148,79.26398413319099,70.17063770479369,47131.72
149,92.19158201884412,67.19394899764151,47514.02
150,80.78754979569594,61.559807499752765,53014.12
151,87.34922279640503,62.88360299415959,47646.46
152,91.23811013591823,63.1183145368624,34788.56
153,98.8194712761491,67.61520061087101,39132.81
154,95.63991152964812,80.76971040344705,44233.17999999999
155,95.7144390103555,73.13216879136033,47026.18
156,95.19788444427381,75.90039554639783,47922.16
157,65.0926474788478,44.95350341364909,59660.42
158,50.92132546254992,95.02696458187849,38367.21
159,79.87588237252088,96.57628158373493,38830.67999999999
160,95.85866228477009,78.07949260957,45009.43000000001
161,78.53505370172627,78.66117689344618,47639.530000000006
162,44.65267597586381,88.12702659461367,42232.06999999999
163,94.90497226021655,82.15861444887908,53143.89
164,81.46441418017884,62.50410303224289,61196.759999999995
165,90.15578650413948,84.33528802333734,40827.630000000005
166,68.30953812308181,93.81546015238031,35208.46000000001
167,27.073076956818113,78.07518507906063,38186.61
168,68.3321746886858,58.43291137662294,60244.6
169,0.0,10.79397201538086,33709.8
170,93.96165875030752,86.80358354747295,46538.649999999994
171,92.50327379798902,85.06532868781647,59344.3
172,50.13025012896677,67.92472285186423,34175.47
173,74.54511917010414,98.34379103125596,39110.69
174,0.0,37.72779192243304,37275.26
175,0.0,66.02013033131757,37478.78
176,44.856023825791546,91.75079262264424,46484.08
177,84.8679391931798,85.00154562027524,75007.54000000001
178,78.00740247463237,80.10687160020325,67849.27
179,89.99825712466775,98.37868121612046,52997.91
180,76.32720935238027,74.45497916469091,55845.89
181,79.75851187303873,63.07522880471571,64189.97
182,87.16245142348185,70.54040399927865,66230.56
183,97.17644258690613,84.51025438874136,61728.95
184,75.85652554626796,63.57116820787001,76042.81
185,90.2582804400559,79.06307066926277,79102.68
186,55.74894241788178,70.97486707899306,56031.11
187,81.11546088340128,88.2453208027581,55299.66999999999
188,41.86350884859098,67.95301305533555,55484.54
189,41.85294775064643,96.49232032540611,53842.58
190,78.77148204899216,88.90636308165658,58383.63
191,59.28766135040497,95.70108980868113,64615.58
192,31.67664890509255,80.1929984505721,62882.94
193,53.750535232207206,91.96477666049556,56540.88
194,37.352583544596804,95.72828989197959,63550.19
195,0.0,44.16516892453457,44324.07
196,89.64113443736025,83.03289153696498,63813.65999999999
197,44.51189938568363,92.55541424418604,59908.87
198,42.95809084020262,62.82763780017295,77991.9
199,81.01351013997318,99.49288384611255,74857.2
200,56.67258887867207,77.78321668836806,54267.8
201,0.0,0.0,4540.45
202,77.59957753485233,88.43218412689507,52904.66
203,9.430229363311554,56.54045843308972,57824.2
204,0.0,42.473304271698,67346.87
205,70.0727877464092,90.09699430516972,95687.38
206,74.82271664364222,85.02467564174107,76259.45000000001
207,54.85212225892506,65.54500899317182,58533.149999999994
208,75.06487003385726,89.83684927814092,59272.36
209,0.0,0.0,35849.61
210,0.0,54.8657907432769,64472.17
211,0.0,46.27886736834491,59871.94
212,50.01298121503501,53.18492306154463,74444.11
213,42.14887676708934,47.86620514476718,91994.5
214,53.696591024254445,36.76697820679754,55948.11
215,77.01855346428657,85.93013732568592,71205.57
216,49.84835312811443,73.80152073036245,72043.4
217,95.22998036385054,81.05609655826726,69914.42
218,71.94550115619263,87.62879498202592,80233.17
219,71.8167105956521,84.21965853985913,83384.58
220,55.74671830235562,71.42262283131618,79859.01
221,0.0,30.707705337389385,59817.27
222,81.08776111203828,68.33623883010137,50332.8
223,4.51094102166735,68.05574441257912,58313.11
224,0.0,61.29228254404578,56448.2
225,19.633095299471364,73.7492180479982,71727.89
226,35.85608332296262,77.32934951782227,71676.04000000001
227,99.88061448308325,87.01198309570461,76606.34
228,46.65671674169266,74.302832950608,56238.28
229,87.99396561853536,89.22092692057292,71658.96
230,66.65184087425675,86.09715927765978,68995.75
231,97.06529553923855,85.38027954101562,61811.42
232,73.85005078763331,84.89897172669976,60295.19
233,34.48811331417299,71.62027883098314,93467.39
234,81.77206760042996,67.68801256579493,94155.91
235,68.93160262933687,98.63741188523693,52394.96
236,95.65673435882228,72.37245831287132,60393.630000000005
237,0.0,77.77506447488204,63234.119999999995
238,0.0,78.1601173290308,63604.18
239,0.0,70.74723806989638,54918.99
240,0.0,58.19058931790865,62640.72
241,0.0,35.32519740775028,54163.36
242,0.0,0.0,42629.17
243,0.0,0.0,33098.43
244,0.0,38.56501988002232,54022.56
245,33.26451430011103,35.38922305710972,66384.1
